user_id,id,product_id,quantity,order_date
16,92,100,4,2024-06-21
2,82,88,9,2025-03-12
50,72,35,50,2024-12-30
46,65,38,17,2024-12-28
4,60,69,6,2024-05-19
5,47,15,5,2024-11-10
1,15,71,9,2024-09-05
47,68,3,8,2025-03-24
21,63,74,8,2024-10-19
37,59,14,8,2024-07-25
20,38,76,14,2025-02-20
27,35,9,8,2025-01-16
29,24,16,8,2024-05-11
22,23,78,8,2024-05-07
36,12,79,8,2025-01-08
18,95,84,27,2024-10-02
9,94,99,6,2024-11-08
34,90,25,7,2024-10-09
22,81,39,7,2024-10-25
20,61,29,27,2024-06-19
19,58,34,7,2025-03-21
11,54,8,45,2024-07-09
21,44,27,7,2024-05-25
14,39,86,7,2024-10-29
48,32,21,45,2025-02-22
32,27,50,7,2024-12-05
12,26,47,7,2025-01-30
11,17,64,7,2024-09-12
34,9,67,12,2024-11-30
31,71,17,6,2024-10-05
33,53,51,6,2024-08-15
27,52,26,6,2024-06-23
44,51,40,20,2025-03-18
19,46,1,6,2025-01-31
31,21,19,6,2025-02-22
23,10,82,6,2025-01-31
44,6,81,6,2025-04-06
43,4,43,34,2024-10-09
29,98,72,5,2024-05-14
10,93,7,5,2025-03-13
45,87,41,22,2025-02-26
40,80,66,5,2024-08-25
13,78,18,5,2024-10-28
25,73,6,5,2025-02-10
30,70,75,5,2024-10-15
48,69,22,5,2024-10-12
49,62,48,18,2024-12-02
50,50,90,5,2024-12-25
16,45,97,5,2024-11-27
3,34,13,17,2024-08-11
8,33,24,5,2024-06-22
24,31,60,5,2025-03-01
15,16,57,16,2025-04-09
39,11,10,5,2024-12-10
3,85,36,4,2024-07-12
23,76,58,4,2024-11-12
32,57,56,15,2024-09-27
42,55,98,4,2024-07-02
40,42,23,4,2024-12-30
9,37,42,4,2024-11-24
45,28,12,4,2024-09-01
30,19,11,4,2024-07-26
25,18,65,4,2024-11-24
18,8,20,4,2025-02-10
7,5,28,14,2024-05-17
49,2,68,4,2025-02-20
6,96,55,13,2025-02-27
12,77,4,3,2025-03-04
15,75,30,3,2024-04-13
26,48,83,3,2025-04-09
46,41,91,3,2024-04-17
41,36,70,3,2025-03-20
17,20,80,10,2024-06-05
35,13,85,3,2024-07-16
13,3,54,12,2024-07-12
42,1,37,3,2024-06-08
24,89,95,2,2025-01-22
39,86,94,2,2024-08-13
5,79,45,2,2025-03-06
17,74,63,2,2024-12-20
26,67,53,6,2024-05-01
8,64,46,2,2024-08-08
36,56,31,2,2024-08-08
2,43,73,2,2024-07-04
6,30,32,2,2024-11-03
47,29,62,2,2024-11-24
28,14,96,2,2024-06-25
4,7,44,2,2024-10-15
28,100,92,1,2024-04-28
35,99,61,1,2024-05-06
41,97,87,1,2024-07-12
14,91,77,1,2025-02-22
1,88,93,1,2024-06-12
7,84,2,1,2025-01-27
38,83,33,1,2024-10-23
43,66,5,1,2024-12-07
37,49,49,1,2024-07-15
10,40,59,1,2024-07-12
38,25,89,1,2024-06-04
33,22,52,1,2024-09-04
